epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,31279.3,0.46557,0.45882,0.85504,0.97064,0.963,0.98999,0.90298,0.45645,0.42419,0.83349,0.000154982,0.000154982,0.000154982
77,31685.2,0.46263,0.45333,0.85597,0.97024,0.96153,0.98996,0.90363,0.45599,0.42386,0.83323,0.000144161,0.000144161,0.000144161
78,32087.3,0.45979,0.44752,0.85217,0.9697,0.9629,0.98994,0.90287,0.45573,0.42343,0.83312,0.000133695,0.000133695,0.000133695
79,32490.2,0.45624,0.44617,0.85094,0.96954,0.96368,0.99001,0.90287,0.45547,0.4232,0.833,0.000123596,0.000123596,0.000123596
80,32889.9,0.45542,0.44184,0.85232,0.9695,0.96415,0.98996,0.90358,0.45529,0.42345,0.83289,0.000113873,0.000113873,0.000113873
81,33292.4,0.45691,0.44717,0.85311,0.96907,0.96453,0.99001,0.90318,0.4551,0.4233,0.83286,0.000104537,0.000104537,0.000104537
82,33695,0.45357,0.44785,0.84937,0.969,0.96504,0.98999,0.90318,0.45509,0.42346,0.8328,9.55951e-05,9.55951e-05,9.55951e-05
83,34096.9,0.45509,0.4459,0.85211,0.96901,0.96504,0.98998,0.90278,0.45503,0.4236,0.83274,8.70577e-05,8.70577e-05,8.70577e-05
84,34497.5,0.44938,0.43713,0.84867,0.96881,0.9649,0.99002,0.90263,0.4551,0.42349,0.8327,7.89327e-05,7.89327e-05,7.89327e-05
85,34900.4,0.45301,0.44322,0.85304,0.96892,0.96395,0.98992,0.90316,0.45486,0.4237,0.83262,7.12282e-05,7.12282e-05,7.12282e-05
86,35304.7,0.44701,0.43709,0.85008,0.96879,0.96395,0.98985,0.9033,0.45459,0.4245,0.8326,6.39518e-05,6.39518e-05,6.39518e-05
87,35708.6,0.44917,0.43795,0.84997,0.96903,0.96243,0.98985,0.9027,0.45449,0.42448,0.83255,5.71106e-05,5.71106e-05,5.71106e-05
88,36113.8,0.44755,0.43804,0.8485,0.96886,0.96205,0.98987,0.90295,0.45425,0.4247,0.83247,5.07115e-05,5.07115e-05,5.07115e-05
89,36515.3,0.44502,0.43458,0.84826,0.96924,0.96168,0.98985,0.90306,0.45401,0.42466,0.83246,4.47606e-05,4.47606e-05,4.47606e-05
90,36917.3,0.44395,0.43103,0.84799,0.96913,0.96153,0.98988,0.90364,0.45362,0.42467,0.83237,3.9264e-05,3.9264e-05,3.9264e-05
91,37328.4,0.40524,0.35516,0.82932,0.96977,0.96062,0.98985,0.90366,0.4533,0.4243,0.83228,3.4227e-05,3.4227e-05,3.4227e-05
92,37735.8,0.40413,0.35326,0.82727,0.96976,0.96039,0.9899,0.90435,0.45319,0.42451,0.83224,2.96546e-05,2.96546e-05,2.96546e-05
93,38142,0.40323,0.35241,0.82741,0.96946,0.95998,0.98981,0.90431,0.45301,0.42487,0.83204,2.55513e-05,2.55513e-05,2.55513e-05
94,38540,0.40432,0.3538,0.8266,0.96974,0.95962,0.98979,0.90401,0.45285,0.42517,0.83195,2.19212e-05,2.19212e-05,2.19212e-05
95,38937.3,0.40401,0.35291,0.82615,0.97007,0.95949,0.98982,0.90448,0.45267,0.42494,0.83193,1.87678e-05,1.87678e-05,1.87678e-05
96,39331.4,0.40303,0.35096,0.82778,0.96961,0.95943,0.98978,0.90454,0.45257,0.42471,0.83185,1.60943e-05,1.60943e-05,1.60943e-05
97,39729.2,0.4022,0.35343,0.82829,0.96953,0.95946,0.98983,0.9045,0.45243,0.42473,0.83181,1.39032e-05,1.39032e-05,1.39032e-05
98,40124.6,0.40272,0.35043,0.82895,0.96924,0.95958,0.98977,0.9047,0.45245,0.42455,0.83176,1.21968e-05,1.21968e-05,1.21968e-05
99,40523.5,0.40186,0.35122,0.82704,0.96907,0.95958,0.9898,0.90434,0.45214,0.42455,0.83168,1.09768e-05,1.09768e-05,1.09768e-05
100,40916.1,0.40282,0.35153,0.82938,0.96933,0.9592,0.98977,0.90412,0.45223,0.42459,0.83173,1.02443e-05,1.02443e-05,1.02443e-05
