source_role,period,place_name,lat,lon,n_reviews,negative,positive,dominant_sentiment,sentiment_source,rentang_tanggal,place_id,avg_confidence_model
training_eda,2021-02,Mie Ayam Kamandaka,-7.3513209,109.2366206,1,1,0,Negatif,EDA/labeler all_platforms,,,
training_eda,2021-02,Mie Ayam Mbak Kimun,-7.431097,109.2564693,2,0,2,Positif,EDA/labeler all_platforms,,,
training_eda,2021-02,Mi Ayam Pak Wanto Purwokerto,-7.4291138,109.2445805,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-02,Mie Ayam Pojok Lapang,-7.4356344000000005,109.27323210000002,3,0,3,Positif,EDA/labeler all_platforms,,,
training_eda,2021-02,Mie Ayam Pak Gimin,-7.41966,109.2412438,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-02,Mie Ayam Pak Marso,-7.423968,109.236043,9,0,9,Positif,EDA/labeler all_platforms,,,
training_eda,2021-02,Bakso Kota Cak Man,-7.4257816,109.2301284,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-03,"Mie Ayam dan Bakso Pak Man ""Mixagrip""",-7.4339706,109.2400907,2,0,2,Positif,EDA/labeler all_platforms,,,
training_eda,2021-03,Mie Ayam dan Bakso Tunggal Rasa,-7.4171956,109.2461375,8,0,8,Positif,EDA/labeler all_platforms,,,
training_eda,2021-03,Mie Ayam Mbak Kimun,-7.431096999999999,109.2564693,5,0,5,Positif,EDA/labeler all_platforms,,,
training_eda,2021-03,Mi Ayam Pak Wanto Purwokerto,-7.4291138,109.2445805,9,1,8,Positif,EDA/labeler all_platforms,,,
training_eda,2021-03,Mie Ayam Pojok Lapang,-7.4356344,109.2732321,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-03,Mie Ayam Pak Marso,-7.423968000000001,109.236043,7,0,7,Positif,EDA/labeler all_platforms,,,
training_eda,2021-03,Mie Ayam Pak Kumis,-7.4120193,109.2451626,1,1,0,Negatif,EDA/labeler all_platforms,,,
training_eda,2021-03,Bakso Kota Cak Man,-7.4257816,109.2301284,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-04,Mie Ayam dan Bakso Tunggal Rasa,-7.4171956,109.24613749999999,3,0,3,Positif,EDA/labeler all_platforms,,,
training_eda,2021-04,"Mie Ayam ""Ti Tasik""",-7.4198261,109.2307849,2,0,2,Positif,EDA/labeler all_platforms,,,
training_eda,2021-04,Mie Ayam Mbak Kimun,-7.431097,109.2564693,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-04,Mi Ayam Pak Wanto Purwokerto,-7.4291138,109.2445805,2,0,2,Positif,EDA/labeler all_platforms,,,
training_eda,2021-04,Mie Ayam Pak Gimin,-7.41966,109.2412438,3,0,3,Positif,EDA/labeler all_platforms,,,
training_eda,2021-04,Mie Ayam Pak Marso,-7.423968000000001,109.236043,7,0,7,Positif,EDA/labeler all_platforms,,,
training_eda,2021-04,Mie Ayam Pak Kumis,-7.4120193,109.2451626,6,1,5,Positif,EDA/labeler all_platforms,,,
training_eda,2021-05,"Mie Ayam dan Bakso Pak Man ""Mixagrip""",-7.4339706,109.2400907,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-05,Mie Ayam dan Bakso Tunggal Rasa,-7.417195600000001,109.2461375,9,0,9,Positif,EDA/labeler all_platforms,,,
training_eda,2021-05,"Mie Ayam ""Ti Tasik""",-7.4198261,109.2307849,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-05,Mie Ayam Kamandaka,-7.3513209,109.2366206,2,0,2,Positif,EDA/labeler all_platforms,,,
training_eda,2021-05,Mie Ayam Mbak Kimun,-7.431096999999999,109.2564693,5,1,4,Positif,EDA/labeler all_platforms,,,
training_eda,2021-05,Mi Ayam Pak Wanto Purwokerto,-7.4291138,109.2445805,3,0,3,Positif,EDA/labeler all_platforms,,,
training_eda,2021-05,Mie Ayam Pak Gimin,-7.41966,109.2412438,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-05,Mie Ayam Pak Marso,-7.423968000000001,109.236043,7,0,7,Positif,EDA/labeler all_platforms,,,
training_eda,2021-05,Mie Ayam Pak Kumis,-7.4120193,109.2451626,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-06,Mie Ayam dan Bakso Tunggal Rasa,-7.417195600000001,109.2461375,5,0,5,Positif,EDA/labeler all_platforms,,,
training_eda,2021-06,Mie Ayam Mbak Kimun,-7.431096999999999,109.2564693,5,0,5,Positif,EDA/labeler all_platforms,,,
training_eda,2021-06,Bakso & Mie Ayam NONI,-7.5364665,109.1215043,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-06,Mi Ayam Pak Wanto Purwokerto,-7.429113799999998,109.2445805,7,1,6,Positif,EDA/labeler all_platforms,,,
training_eda,2021-06,Mie Ayam Pojok Lapang,-7.435634399999999,109.27323209999999,6,0,6,Positif,EDA/labeler all_platforms,,,
training_eda,2021-06,Mie Ayam Pak Marso,-7.423968,109.236043,9,0,9,Positif,EDA/labeler all_platforms,,,
training_eda,2021-06,Mie Ayam Pak Kumis,-7.4120193,109.2451626,3,0,3,Positif,EDA/labeler all_platforms,,,
training_eda,2021-06,Bakso Kota Cak Man,-7.4257816,109.2301284,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-07,Mie Ayam dan Bakso Tunggal Rasa,-7.4171956,109.24613749999999,3,3,0,Negatif,EDA/labeler all_platforms,,,
training_eda,2021-07,Mie Ayam Pak Toro,-7.4223209,109.228104,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-07,Mie Ayam Mbak Kimun,-7.431097,109.2564693,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-07,Mi Ayam Pak Wanto Purwokerto,-7.4291138,109.2445805,2,0,2,Positif,EDA/labeler all_platforms,,,
training_eda,2021-07,Mie Ayam Pojok Lapang,-7.4356344,109.2732321,2,0,2,Positif,EDA/labeler all_platforms,,,
training_eda,2021-07,Mie Ayam Pak Kumis,-7.4120193,109.2451626,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-08,Mie Ayam dan Bakso Tunggal Rasa,-7.4171956,109.2461375,4,1,3,Positif,EDA/labeler all_platforms,,,
training_eda,2021-08,Mie Ayam Pak Toro,-7.4223209,109.228104,2,1,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-08,Mie Ayam Mbak Kimun,-7.431096999999999,109.2564693,5,0,5,Positif,EDA/labeler all_platforms,,,
training_eda,2021-08,Mie Ayam Tanjlig,-7.416409200000001,109.22940250000002,5,0,5,Positif,EDA/labeler all_platforms,,,
training_eda,2021-08,Mi Ayam Pak Wanto Purwokerto,-7.429113799999999,109.24458050000001,5,1,4,Positif,EDA/labeler all_platforms,,,
training_eda,2021-08,Mie Ayam Pojok Lapang,-7.4356344000000005,109.27323210000002,3,0,3,Positif,EDA/labeler all_platforms,,,
training_eda,2021-08,Mie Ayam Pak Kumis Asli Bumiayu,-7.4002193,109.2445157,1,0,1,Positif,EDA/labeler all_platforms,,,
